Trip_Distance_km,Passenger_Count,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price,Time_of_Day_Evening,Time_of_Day_Morning,Time_of_Day_Night,Time_of_Day_Unknown,Day_of_Week_Weekday,Day_of_Week_Weekend,Traffic_Conditions_Low,Traffic_Conditions_Medium,Traffic_Conditions_Unknown,Weather_Rain,Weather_Snow,Weather_Unknown
19.35,3.0,3.56,0.8,0.32,53.82,36.2624,False,True,False,False,True,False,True,False,False,False,False,False
47.59,1.0,16.95492918729896,0.62,0.43,40.57,45.693681000000005,False,False,False,False,True,False,False,False,False,False,False,False
36.87,1.0,2.7,1.21,0.15,37.27,52.9032,True,False,False,False,False,True,False,False,False,False,False,False
30.33,4.0,3.48,0.51,0.15,116.81,36.4698,True,False,False,False,True,False,True,False,False,False,False,True
8.640000000000002,3.0,2.93,0.63,0.32,22.64,15.618000000000002,True,False,False,False,True,False,False,False,False,False,False,False
8.64,2.0,2.55,1.71,0.48,89.33,60.2028,False,False,False,False,False,True,False,True,False,False,False,False
3.85,4.0,3.51,1.66,0.27,5.05,11.2645,False,False,False,False,True,False,False,False,False,True,False,False
43.44,3.0,2.97,1.87,0.23,73.56000000000002,101.1216,True,False,False,False,False,True,False,False,True,False,False,False
30.45,3.0,2.77,1.78,0.34,110.33,94.4832,False,True,False,False,True,False,False,False,False,False,False,False
35.7,2.0,3.39,1.52,0.47,38.11000000000001,75.5657,False,False,False,False,True,False,True,False,False,True,False,False
2.0099999999999985,4.0,2.4,0.58,0.43,26.34,14.892,False,True,False,False,True,False,False,False,True,False,False,False
48.53,3.0,4.78,0.6659999999999998,0.5,79.94,69.00417500000005,False,False,True,False,True,False,True,False,False,False,False,False
41.79,3.0,4.6,1.77,0.11,86.95,88.13279999999999,False,False,True,False,False,True,False,False,False,False,False,False
11.4,3.0,4.12,1.7000000000000002,0.15,84.12,36.118,False,True,False,False,True,False,False,False,True,False,False,False
9.91,2.0,2.32,1.26,0.34,41.72,28.9914,True,False,False,False,True,False,False,False,False,False,False,False
9.99,4.0,4.33,0.85,0.43,34.0,27.4415,False,False,True,False,True,False,False,False,False,False,False,False
15.91,4.0,4.42,1.77,0.21,114.93,56.716,False,True,False,False,True,False,True,False,False,False,False,False
26.71,4.0,4.3,1.59,0.2,111.18,69.0049,False,False,False,False,False,True,True,False,False,True,False,False
22.17,4.0,2.34,1.97,0.41,57.59,69.6268,False,False,True,False,False,False,True,False,False,False,False,False
15.27,1.0,3.93,0.73,0.12,102.31,27.3543,False,True,False,False,False,False,True,False,False,False,False,False
30.98,1.0,4.5,0.84,0.25,57.02,44.7782,False,False,False,False,False,True,True,False,False,True,False,False
7.84,4.0,3.73,0.82,0.3,53.8,26.2988,False,True,False,False,True,False,False,True,False,False,False,True
105.94355003672597,2.0,3.94,1.69,0.32,23.03,201.869509186128,False,False,True,False,False,True,True,False,False,True,False,False
18.95,1.0,3.38,0.78,0.39,54.04,39.2366,False,False,True,False,True,False,True,False,False,False,False,False
23.35,3.0,3.59,0.6,0.24,66.8,33.632000000000005,False,False,True,False,False,False,True,False,False,True,False,False
39.47,1.0,39.61337008732584,1.6958000000000013,0.35,7.59,83.69649999999999,False,False,False,False,True,False,True,False,False,False,False,False
10.78,3.0,3.92,0.54,0.33,56.07,28.2443,True,False,False,False,False,False,False,False,False,True,False,False
138.09832791310237,4.0,2.24,1.75,0.32,94.86,280.87730155406564,True,False,False,False,False,True,False,True,False,True,False,False
30.03,1.0,3.31,1.05,0.36,83.21,64.7971,False,False,False,True,True,False,False,False,False,False,False,False
3.28,2.0,2.88,1.76,0.2,78.04,24.260800000000003,True,False,False,False,True,False,False,True,False,False,False,False
30.77,1.0,3.64,1.33,0.13,109.6,58.8121,False,True,False,False,True,False,True,False,False,False,False,False
9.36,1.0,2.4,1.85,0.15,7.07,20.7765,False,False,False,False,True,False,False,True,False,False,False,False
4.19,1.0,4.07,1.89,0.19,69.06,25.1105,False,True,False,False,True,False,True,False,False,False,False,False
47.5,1.0,4.39,0.51,0.3,95.55,57.28,False,True,False,False,False,True,True,False,False,False,False,False
48.32,2.0,2.49,0.61,0.44,67.25,61.5552,False,True,False,False,True,False,True,False,False,False,False,False
40.61,1.0,2.31,0.88,0.38,42.25,54.1018,False,False,False,False,True,False,True,False,False,False,False,False
15.93,2.0,2.44,1.5,0.42,20.67,35.016400000000004,False,False,False,False,True,False,True,False,False,False,False,True
5.79,4.0,4.63,1.83,0.24,107.07,40.9225,True,False,False,False,True,False,True,False,False,False,False,False
34.53,3.0,3.58,1.19,0.26,59.14,60.0471,False,True,False,False,True,False,False,True,False,False,False,False
22.57,1.0,3.4,1.41,0.2600000000000001,105.98,62.77850000000001,False,False,False,False,True,False,True,False,False,False,False,False
6.98,2.0,2.32,0.78,0.18,72.37,20.791,False,False,False,False,False,True,True,False,False,False,False,False
25.26,2.0,3.95,1.71,0.12,82.53,57.0482,True,False,False,False,True,False,False,False,False,False,False,False
2.69,4.0,4.6,1.95,0.34,97.49,42.9921,False,False,False,False,True,False,True,False,False,False,False,False
45.56,1.0,4.480000000000011,0.9,0.5,80.8,85.88400000000001,False,False,False,False,True,False,True,False,False,False,False,False
13.68,3.0,3.88,1.24,0.17,50.78,29.4758,True,False,False,False,False,True,False,False,False,False,False,False
33.46,2.0,2.23,0.63,0.12,64.07,30.9982,False,False,False,False,False,True,True,False,False,True,False,False
16.27,1.0,2.34,1.3399999999999996,0.41,97.35,64.05529999999999,False,True,False,False,True,False,True,False,False,False,False,False
26.48,3.0,2.15,1.25,0.2,47.97,44.844,False,True,False,False,False,True,False,True,False,False,False,False
27.79,2.0,2.77,0.72,0.43,49.63,44.1197,True,False,False,False,True,False,True,False,False,False,False,False
10.06,2.0,2.41,1.16,0.38,16.0,20.1596,False,True,False,False,True,False,False,True,False,True,False,False
48.51,3.0,2.780000000000001,1.0,0.48,110.18,104.1764,True,False,False,False,True,False,False,False,False,True,False,False
38.98,3.0,3.16,1.28,0.26,15.47,57.0766,False,False,False,False,True,False,True,False,False,False,False,False
